p,corr_YZ,corr_YU,perturb_level_YU,perturb_level_YZ,train_n,test_n,van_w_f,van_w_g,strat_w_f,strat_w_g,van_train_loss,van_test_loss,van_test_acc,strat_train_loss,strat_test_loss,strat_test_acc
0.0,0.3261871768631036,0.6902987414783098,2,1,2500,500,"[0.0, 0.0, 0.0, 0.0]","[0.691861465045344, 0.3114441465269988, -0.15776439319799185]","[0.0, 0.0, 0.0, 0.0]","[0.6955167160523131, 0.3122119258977987, -0.15819630604511442]",0.597383819365626,0.6142476880118625,0.69,0.5973824018603123,0.6143276235782812,0.69
0.0,0.32984399444391915,0.7938891459038097,3,1,2500,500,"[0.0, 0.0, 0.0, 0.0]","[0.7400258325185337, 0.31741828551810874, -0.16858842954331243]","[0.0, 0.0, 0.0, 0.0]","[0.7441022330770503, 0.3183064690537683, -0.16913175077462797]",0.5922332842188947,0.6157504839430156,0.694,0.592231589973863,0.6158640940804266,0.694
0.0,0.5209642395768288,-0.6009621410438102,-3,2,2500,500,"[0.0, 0.0, 0.0, 0.0]","[0.3191345762813089, 0.09412855832419272, -0.23119218304692196]","[0.0, 0.0, 0.0, 0.0]","[0.3206156776032109, 0.09397023254538232, -0.23135934837525046]",0.6334692357758988,0.6543271277527111,0.614,0.6334689875881109,0.6543836789523464,0.614
0.0,0.5253190117269765,-0.4050733368259687,-2,2,2500,500,"[0.0, 0.0, 0.0, 0.0]","[0.3484984389591173, 0.09958528244908732, -0.23022464382111557]","[0.0, 0.0, 0.0, 0.0]","[0.35011128976890715, 0.0994365032912081, -0.23041869808582188]",0.6312949985206933,0.6571338741827879,0.602,0.6312947025798159,0.657198894696994,0.602
0.0,0.5318511699521979,-0.11556644025765511,-1,2,2500,500,"[0.0, 0.0, 0.0, 0.0]","[0.4143126892577087, 0.12483091848150016, -0.23749385406460102]","[0.0, 0.0, 0.0, 0.0]","[0.4162554636949568, 0.12473067743147982, -0.23775776719517508]",0.6214402817096587,0.6525810142153655,0.612,0.6214398542252051,0.6526723514392012,0.612
0.0,0.5416494072900304,0.3094273861198389,0,2,2500,500,"[0.0, 0.0, 0.0, 0.0]","[0.5070624390122731, 0.2129390310325127, -0.21052090916307603]","[0.0, 0.0, 0.0, 0.0]","[0.5095083183573076, 0.2131454362909094, -0.2108194148575884]",0.6093908204062027,0.6386828690203532,0.636,0.6093901470456996,0.6387929020313834,0.636
0.0,0.5471346336612537,0.5427343596322729,1,2,2500,500,"[0.0, 0.0, 0.0, 0.0]","[0.5738898206219089, 0.2847192716396933, -0.21051903719449488]","[0.0, 0.0, 0.0, 0.0]","[0.5768253890135272, 0.2852784197842489, -0.21085105171129997]",0.5943644492101837,0.6330951788935728,0.65,0.5943634926163317,0.6332317367901367,0.654
0.0,0.5507914512420691,0.6965123778575724,2,2,2500,500,"[0.0, 0.0, 0.0, 0.0]","[0.6254979482406124, 0.3647704086645034, -0.19697593747331402]","[0.0, 0.0, 0.0, 0.0]","[0.6288834942295067, 0.36579165183077883, -0.1972826664533189]",0.5819963319730226,0.6268401616007786,0.68,0.5819950572085986,0.6270138211333905,0.68
0.0,0.5532293296292795,0.7982693378799424,3,2,2500,500,"[0.0, 0.0, 0.0, 0.0]","[0.6571245147476797, 0.426201626495957, -0.17785309745982925]","[0.0, 0.0, 0.0, 0.0]","[0.6608041221931223, 0.4276079952270946, -0.17811293667963402]",0.5749212757059651,0.6155822468331728,0.698,0.574919744664988,0.6157551717257149,0.698
0.0,0.6806428263845525,-0.5958617654640805,-3,3,2500,500,"[0.0, 0.0, 0.0, 0.0]","[0.306247786605925, 0.09473354881422769, -0.2503033273190149]","[0.0, 0.0, 0.0, 0.0]","[0.30766963575509276, 0.09459684011001163, -0.25044791125148547]",0.6241103475125154,0.6564990750146266,0.628,0.6241101181918868,0.6565590003708159,0.628
0.0,0.6835460078179844,-0.3983908068591083,-2,3,2500,500,"[0.0, 0.0, 0.0, 0.0]","[0.32649987370451455, 0.10780592686200037, -0.247025564622055]","[0.0, 0.0, 0.0, 0.0]","[0.328001171339581, 0.10770147427157536, -0.2471889044823392]",0.6223665425391307,0.6578189938071699,0.626,0.6223662829307927,0.6578852318198343,0.626
0.0,0.6879007799681319,-0.10766436131235183,-1,3,2500,500,"[0.0, 0.0, 0.0, 0.0]","[0.3782198325849123, 0.14282640424800136, -0.23702276644159842]","[0.0, 0.0, 0.0, 0.0]","[0.3799645699766341, 0.14280556194001473, -0.23720418373023988]",0.6161763974016149,0.6486954751899414,0.638,0.616176047482057,0.6487786189198764,0.638
0.0,0.6944329381933535,0.31668771693947956,0,3,2500,500,"[0.0, 0.0, 0.0, 0.0]","[0.4484602920254372, 0.23010347076384285, -0.22787147487415424]","[0.0, 0.0, 0.0, 0.0]","[0.4506046777872248, 0.2303859402037813, -0.22808381842472966]",0.6018413785797047,0.633109875275635,0.624,0.6018408411542401,0.6332055051687757,0.624
0.0,0.698089755774169,0.5484055407704458,1,3,2500,500,"[0.0, 0.0, 0.0, 0.0]","[0.49895988025084365, 0.2863415409662466, -0.22563137728856858]","[0.0, 0.0, 0.0, 0.0]","[0.5014688311655348, 0.28690528993926717, -0.2258530471125451]",0.5905966176832442,0.6259646694542422,0.636,0.5905958862233486,0.6260794691704721,0.638
0.0,0.7005276341613793,0.700654802110414,2,3,2500,500,"[0.0, 0.0, 0.0, 0.0]","[0.5440549183193653, 0.36431279799139876, -0.19031701223730707]","[0.0, 0.0, 0.0, 0.0]","[0.5468764877758199, 0.3652928367215887, -0.1904434349096561]",0.5838940209330247,0.6136480361148576,0.664,0.5838930631530257,0.6137774119045575,0.664
